year,month,ncm,commodity,subtype,description,country_code,country_name,qt_estat,kg_net,mt,bales_480lb,fob_usd
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),161,Unknown,24,24000,24.0,110.23,224191
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),199,Gibraltar,0,300,0.3,1.38,5250
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),245,Unknown,7,6525,6.525,29.97,31320
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),249,Israel,86,84600,84.6,388.57,457063
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),249,Israel,43,42275,42.275,194.17,249706
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),249,Israel,89,89414,89.414,410.68,471235
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),249,Israel,87,88225,88.225,405.21,449970
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),271,Unknown,7,6525,6.525,29.97,50243
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),271,Unknown,69,67200,67.2,308.65,271365
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),275,Unknown,6,6300,6.3,28.94,30240
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),291,Macao,16,15976,15.976,73.38,115608
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),301,Unknown,13,13050,13.05,59.94,46033
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),386,Puerto Rico,13,12615,12.615,57.94,43386
1997,2,21011200,coffee,soluble,Preparations based on coffee extract,399,Romania,0,216000,216.0,992.08,390960
1997,2,09012100,coffee,arabica_green,Roasted arabica (not decaff),399,Romania,7,7000,7.0,32.15,33460
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),399,Romania,6,5800,5.8,26.64,31967
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),399,Romania,117,117956,117.956,541.77,734153
1997,2,21011190,coffee,soluble,Soluble/instant coffee extract (other),399,Romania,0,453038,453.038,2080.79,1629041
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),399,Romania,0,450,0.45,2.07,3600
1997,2,21011190,coffee,soluble,Soluble/instant coffee extract (other),399,Romania,0,293886,293.886,1349.81,930532
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),399,Romania,58,56700,56.7,260.42,428000
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),493,Unknown,13,13050,13.05,59.94,50348
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),493,Unknown,15,15300,15.3,70.27,94095
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),548,Unknown,6,5883,5.883,27.02,41178
1997,2,09012100,coffee,arabica_green,Roasted arabica (not decaff),573,Unknown,0,200,0.2,0.92,1200
1997,2,09012100,coffee,arabica_green,Roasted arabica (not decaff),586,Unknown,5,3205,3.205,14.72,12707
1997,2,09012100,coffee,arabica_green,Roasted arabica (not decaff),586,Unknown,0,455,0.455,2.09,2976
1997,2,09012100,coffee,arabica_green,Roasted arabica (not decaff),586,Unknown,0,246,0.246,1.13,4061
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),586,Unknown,32,31200,31.2,143.3,444976
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),586,Unknown,4,3960,3.96,18.19,75557
1997,2,09012100,coffee,arabica_green,Roasted arabica (not decaff),586,Unknown,2,2685,2.685,12.33,11241
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),603,Unknown,68,68200,68.2,313.24,660764
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),603,Unknown,24,23760,23.76,109.13,84586
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),603,Unknown,31,31135,31.135,143.0,157388
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),628,New Caledonia,341,342060,342.06,1571.07,1854218
1997,2,09012100,coffee,arabica_green,Roasted arabica (not decaff),670,Unknown,10,9520,9.52,43.73,41669
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),670,Unknown,140,139783,139.783,642.02,1220874
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),676,Unknown,601,609929,609.929,2801.39,4095210
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),676,Unknown,21,20928,20.928,96.12,146400
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),676,Unknown,61,61200,61.2,281.09,360878
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),676,Unknown,10,10032,10.032,46.08,50869
1997,2,09012100,coffee,arabica_green,Roasted arabica (not decaff),676,Unknown,16,15750,15.75,72.34,70875
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),676,Unknown,235,236054,236.054,1084.19,1625369
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),676,Unknown,106,106926,106.926,491.11,580333
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),741,Unknown,55,54000,54.0,248.02,190477
1997,2,09012200,coffee,arabica_green,Roasted arabica (decaff),756,Unknown,0,100,0.1,0.46,1500
1997,2,09012100,coffee,arabica_green,Roasted arabica (not decaff),756,Unknown,1,1206,1.206,5.54,5206
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),764,Unknown,22,22800,22.8,104.72,134680
1997,2,09012100,coffee,arabica_green,Roasted arabica (not decaff),767,Unknown,0,53,0.053,0.24,256
1997,2,09019000,coffee,arabica_green,Coffee husks and substitutes,767,Unknown,0,127,0.127,0.58,878
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),791,Unknown,10,10102,10.102,46.4,66671
1997,2,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),831,Unknown,459,459000,459.0,2108.17,3214504
1997,2,09012100,coffee,arabica_green,Roasted arabica (not decaff),845,Unknown,5,5000,5.0,22.96,22200
1997,2,09012100,coffee,arabica_green,Roasted arabica (not decaff),845,Unknown,0,45,0.045,0.21,318
1997,2,10051000,corn,seed_corn,Corn seed,097,Unknown,0,27000,27.0,124.01,47140
1997,2,10051000,corn,seed_corn,Corn seed,097,Unknown,0,100,0.1,0.46,600
1997,2,10051000,corn,seed_corn,Corn seed,249,Israel,0,78640,78.64,361.19,117960
1997,2,10051000,corn,seed_corn,Corn seed,249,Israel,0,982453,982.453,4512.38,1550645
1997,2,10059010,corn,yellow_corn,Yellow dent corn,399,Romania,0,202,0.202,0.93,933
1997,2,10059090,corn,yellow_corn,Other corn not seed,399,Romania,0,50,0.05,0.23,233
1997,2,10051000,corn,seed_corn,Corn seed,493,Unknown,0,825,0.825,3.79,8850
1997,2,10059010,corn,yellow_corn,Yellow dent corn,573,Unknown,0,50000000,50000.0,229648.55,5975000
1997,2,10059090,corn,yellow_corn,Other corn not seed,586,Unknown,0,508,0.508,2.33,709
1997,2,10059090,corn,yellow_corn,Other corn not seed,607,Unknown,0,691,0.691,3.17,173
1997,2,10059010,corn,yellow_corn,Yellow dent corn,676,Unknown,0,10000000,10000.0,45929.71,1190000
1997,2,10059010,corn,yellow_corn,Yellow dent corn,728,Unknown,0,10900000,10900.0,50063.38,1286200
